Easy_2,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier
enemy_12,3,5,1.5,1.05
enemy_9,1,15,0.6,1.05
#reward,600,,,
,,,Wave 43,
enemy_5,0,5,0.2,1
enemy_7,1,5,0.5,1
enemy_5,0,5,0.15,1
#reward,600,,,
,,,Wave 44,
enemy_8,0,5,1,1.05
#reward,600,,,
,,,Wave 45,
enemy_6,0,15,0.4,1.05
enemy_9,1,10,0.7,1.05
enemy_5,0,15,0.25,1.05
enemy_9,0,10,0.4,
#horde,,,,
#reward,600,,,
,,,Wave 46,
boss_ogre,0,1,1,0.9
#horde,,,,
#reward,600,,,
,,,Wave 47,
enemy_9,0,10,0.6,1.05
enemy_7,1,10,0.5,1.05
enemy_12,3,5,1.2,1.05
#reward,600,,,
,,,Wave 48,
enemy_7,0,10,0.5,1.05
enemy_12,4,7,1.2,1.05
enemy_9,1.5,15,0.5,1.05
#reward,600,,,
,,,Wave 49,
enemy_7,0,20,0.45,1.05
enemy_12,4,7,1.2,1.05
enemy_8,0,10,0.7,1.05
boss_ogre,0,2,15,
#horde,,,,
#reward,600,,,
,,,Wave 50,
enemy_13,0,2,3,
enemy_6,3,10,0.5,
enemy_10,0,5,1,
enemy_6,1,15,0.4,
enemy_10,0,5,0.45,
#reward,800,,,
,,,Wave 51,
enemy_13,0,3,3,
enemy_11,1.5,10,0.5,
enemy_5,1,15,0.3,
enemy_11,0,10,0.5,
enemy_5,1,15,0.3,
#reward,800,,,
,,,Wave 52,
enemy_9,0,10,0.3,1.1
enemy_10,0,5,0.25,1.1
enemy_7,1,15,0.25,1.1
enemy_12,2,10,0.9,
#reward,800,,,
,,,Wave 53,
enemy_12,0,7,0.9,
enemy_11,0,15,0.4,1.1
enemy_8,0,10,0.65,1.1
enemy_5,0,20,0.2,1.1
enemy_9,1,15,0.5,1.1
enemy_5,0,20,0.2,1.1
enemy_13,0,3,3,
#horde,,,,
#reward,800,,,
,,,Wave 54,
enemy_8,0,10,0.8,1.1
enemy_7,0,10,0.4,1.1
enemy_12,2,7,0.9,
enemy_8,0,10,0.4,1.1
enemy_6,0.4,15,0.2,1.1
enemy_9,0.3,15,0.3,1.1
#reward,800,,,
,,,Wave 55,
enemy_12,0,10,0.9,
enemy_10,2,5,0.5,
enemy_11,0,10,0.5,
enemy_13,0,3,3,
#reward,1000,,,
,,,Wave 56,
enemy_7,0,10,0.35,1.1
enemy_9,1,10,0.6,1.1
enemy_7,0,15,0.3,1.1
enemy_9,1,15,0.3,1.1
enemy_10,1,7,0.5,1.1
enemy_12,2,15,0.9,
#reward,1000,,,
,,,Wave 57,
enemy_13,0,3,3,
enemy_7,0,10,0.5,
enemy_9,1,10,0.2,
enemy_11,0,15,0.2,
enemy_7,0,10,0.3,
enemy_9,1,15,0.2,
enemy_10,0,7,0.4,
enemy_12,2,10,0.9,
#horde,,,,
#reward,1000,,,
,,,Wave 58,
boss_ogre,0,1,1,
enemy_6,0,15,0.3,1.1
enemy_8,0,10,1.2,1.1
enemy_13,1.5,3,3,
enemy_6,0,7,0.2,1.1
enemy_8,0,10,1,1.1
boss_ogre,0,1,1,
#horde,,,,
#reward,1000,,,
,,,Wave 59,
enemy_12,0,15,0.9,
enemy_1,0,0,0,
enemy_5,0,25,0.1,1.1
enemy_8,0,10,0.9,1.1
boss_ogre,2,2,10,
enemy_7,0,7,0.3,1.1
enemy_8,1,10,0.7,1.1
boss_ogre,0,1,10,
#horde,,,,
#reward,2000,,,
,,,Wave 60,
