Easy_3,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier
enemy_6,1.5,20,0.5,
enemy_12,2,2,1.2,0.9
#reward,600,,,
,,,Wave 42,
enemy_9,0,7,0.6,1.05
enemy_9,1,7,0.5,1.05
enemy_9,0.5,10,0.45,1.05
enemy_9,0.2,10,0.4,1.05
#reward,600,,,
,,,Wave 43,
enemy_5,0,20,0.15,1.05
enemy_7,0,25,0.5,
enemy_5,1,20,0.2,1.05
enemy_12,2,3,1.4,0.9
#reward,600,,,
,,,Wave 44,
enemy_8,0,10,1,1.2
enemy_12,2,5,1.3,1
#reward,600,,,
,,,Wave 45,
enemy_9,0,10,0.2,1.05
enemy_5,1,15,0.2,1.05
enemy_6,0,15,0.25,1.05
enemy_9,0,15,0.5,1.05
#horde,,,,
#reward,600,,,
,,,Wave 46,
boss_pult,0,1,1,0.8
#horde,,,,
#reward,600,,,
,,,Wave 47,
enemy_7,0,10,0.3,1.05
enemy_9,1,10,0.6,1.05
enemy_12,2,10,1.2,1
enemy_7,0,10,0.3,1.05
enemy_9,1,10,0.6,1.05
#reward,600,,,
,,,Wave 48,
enemy_7,0,15,0.35,1.05
enemy_9,1.5,15,0.4,1.05
enemy_7,0,10,0.3,1.05
enemy_9,1.5,15,0.35,1.05
#horde,,,,
#reward,600,,,
,,,Wave 49,
enemy_11,0,15,0.3,1.05
enemy_8,0,15,0.7,1.05
boss_pult,0,2,20,0.85
#horde,,,,
#reward,800,,,
,,,Wave 50,
enemy_6,0,15,0.4,1.15
enemy_10,0,5,1,1.15
enemy_12,1,10,1,1.15
enemy_6,1,15,0.4,1.15
enemy_10,0,5,0.7,1.15
#reward,800,,,
,,,Wave 51,
enemy_11,0,10,0.5,
enemy_5,1,15,0.3,
enemy_11,0,10,0.5,
enemy_5,1,15,0.3,
enemy_13,1.5,3,3,
#reward,800,,,
,,,Wave 52,
enemy_10,0,10,0.55,1
enemy_7,0,15,0.3,1.15
enemy_9,1,25,0.3,1.15
enemy_7,0,15,0.275,1.15
enemy_9,1,15,0.3,1.15
enemy_12,3,5,1,1.15
#horde,,,,
#reward,800,,,
,,,Wave 53,
enemy_11,0,15,0.4,1.15
enemy_8,0,15,0.65,1.15
enemy_5,0,15,0.2,1.15
enemy_9,1,25,0.5,1.15
enemy_5,0,15,0.2,1.15
#reward,800,,,
,,,Wave 54,
enemy_13,0,5,2,1
enemy_8,1.5,7,0.8,1.2
enemy_7,0,15,0.4,1.2
enemy_11,0,7,0.3,1.2
enemy_8,0,7,0.4,1.2
enemy_6,0.4,7,0.2,1.2
enemy_9,0.3,7,0.3,1.2
#reward,800,,,
,,,Wave 55,
enemy_10,0,7,0.5,
enemy_11,0,10,0.5,
enemy_12,1,5,1,
#reward,1000,,,
,,,Wave 56,
enemy_7,0,10,0.35,1.2
enemy_9,1,15,0.6,1.2
enemy_11,0,15,0.2,1.2
enemy_7,0,10,0.3,1.2
enemy_9,1,10,0.3,1.2
enemy_10,1,10,0.5,1.2
#reward,1000,,,
,,,Wave 57,
enemy_7,0,12,0.5,1.2
enemy_9,1,12,0.2,1.2
enemy_10,0,10,0.45,1.2
enemy_13,3,10,1.5,1
enemy_7,0,12,0.3,1.2
enemy_9,1,15,0.2,1.2
enemy_11,0,15,0.2,1.2
#reward,1000,,,
,,,Wave 58,
enemy_12,0,5,1,1.1
enemy_6,3,20,0.3,1.2
enemy_8,0,10,1.2,1.2
enemy_13,0,10,1.5,1.2
boss_pult,2,1,1,0.9
enemy_6,0,20,0.25,1.2
enemy_8,0,10,1,1.2
boss_pult,0,1,1,0.9
#horde,,,,
#reward,1000,,,
,,,Wave 59,
enemy_5,0,30,0.1,1.2
enemy_8,0,10,0.9,1.2
boss_pult,2,2,10,0.95
enemy_7,0,20,0.3,1.2
enemy_8,1,10,0.7,1.2
boss_pult,0,1,10,0.95
#horde,,,,
#reward,2000,,,
,,,Wave 60,
