Hard_0_4L,,,,,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier, Path,,,
enemy_4,5,20,0.9,,2,,,
enemy_5,5,10,1.2,,3,,,
#reward,300,,,,,,,
,,,Wave 25,,,,,
enemy_9,0,1,0.5,0.7,1,,,
enemy_9,5,1,0.5,,3,,,
enemy_6,5,5,0.8,0.8,1,,,
enemy_6,5,5,1.2,0.8,0,,,
#reward,300,,,,,,,
,,,Wave 26,,,,,
enemy_9,0,2,1,0.7,1,,,
enemy_6,0,5,0.6,0.8,0,,,
enemy_6,3,5,1,0.8,2,,,
enemy_6,0,5,1.8,0.8,3,,,
enemy_9,4,3,1,0.7,1,,,
#reward,300,,,,,,,
,,,Wave 27,,,,,
enemy_6,0,5,0.5,0.8,0,,,
enemy_6,5,5,0.5,0.8,1,,,
enemy_5,5,10,0.3,,0,,,
enemy_6,10,5,0.5,0.8,1,,,
enemy_6,3,5,0.5,0.8,0,,,
enemy_5,7,10,0.5,,1,,,
#reward,300,,,,,,,
,,,Wave 28,,,,,
enemy_5,0,10,0.4,,1,,,
enemy_2,5,15,0.4,,0,,,
enemy_8,5,1,0.8,,1,,,
enemy_5,5,10,0.4,,0,,,
enemy_2,5,15,0.4,,1,,,
enemy_6,0,5,1,0.8,2,,,
enemy_6,3,5,1,0.8,3,,,
#reward,300,,,,,,,
,,,Wave 29,,,,,
,,,,,,,,
enemy_9,0,2,1,0.7,0,,,
enemy_9,3,2,1,0.7,1,,,
enemy_9,6,3,1,0.7,0,,,
enemy_9,6,3,1,0.7,1,,,
enemy_2,6,30,0.4,,2,,,
enemy_2,6,30,0.4,,3,,,
enemy_6,8,8,1,,1,,,
enemy_6,8,8,0.5,,3,,,
enemy_8,6,1,0.4,,0,,,
enemy_8,8,1,0.6,,1,,,
#horde,,,,,,,,
#reward,400,,,,,,,
,,,Wave 30,,,,,
enemy_4,0,30,1,,0,,,
enemy_4,0,30,1,1,1,,,
enemy_4,0,30,1,,2,,,
enemy_4,0,30,1,1,3,,,
#reward,400,,,,,,,
,,,Wave 31,,,,,
enemy_10,0,1,0.5,0.7,0,,,
enemy_10,4,1,0.5,0.7,1,,,
enemy_4,6,30,1,,0,,,
enemy_4,6,30,1,1,1,,,
enemy_4,6,30,1,,2,,,
enemy_4,6,30,1,1,3,,,
#reward,400,,,,,,,
,,,Wave 32,,,,,
enemy_10,0,1,1,0.8,0,,,
enemy_10,4,1,1,0.8,1,,,
enemy_6,6,5,1.2,0.8,0,,,
enemy_4,6,25,0.5,1,1,,,
enemy_4,6,25,0.5,1,0,,,
enemy_7,12,5,1.2,,2,,,
#reward,400,,,,,,,
,,,Wave 33,,,,,
enemy_10,0,1,1,0.9,0,,,
enemy_10,2,1,1,0.9,1,,,
enemy_6,6,5,1,0.5,1,,,
enemy_4,6,25,0.5,1,1,,,
enemy_4,6,25,0.5,1,0,,,
enemy_7,6,5,1,,0,,,
#reward,400,,,,,,,
,,,Wave 34,,,,,
enemy_10,0,3,2,0.8,1,,,
enemy_10,4,3,2,0.8,3,,,
#reward,400,,,,,,,
,,,Wave 35,,,,,
enemy_10,0,2,1,0.8,1,,,
enemy_10,2,2,1.2,0.8,3,,,
enemy_10,4,2,1.4,0.8,0,,,
enemy_10,6,2,1.6,0.8,2,,,
#reward,400,,,,,,,
,,,Wave 36,,,,,
enemy_10,0,3,1,,3,,,
enemy_11,6,10,1,,0,,,
enemy_7,6,5,1,,1,,,
enemy_10,8,3,1.5,,2,,,
enemy_6,8,10,0.6,0.8,0,,,
#reward,400,,,,,,,
,,,Wave 37,,,,,
enemy_7,0,5,1,,2,,,
enemy_5,6,10,0.6,,1,,,
enemy_10,6,5,1,,3,,,
enemy_7,6,5,1,,1,,,
enemy_5,12,10,0.6,,0,,,
enemy_10,8,5,1,,3,,,
#reward,400,,,,,,,
,,,Wave 38,,,,,
enemy_6,0,5,0.6,0.8,1,,,
enemy_7,6,5,1,,0,,,
enemy_6,8,5,0.4,0.8,1,,,
enemy_5,12,10,1,,0,,,
enemy_11,16,10,1.2,,3,,,
#reward,400,,,,,,,
,,,Wave 39,,,,,
enemy_7,0,10,1,,0,,,
enemy_5,6,20,0.5,,0,,,
enemy_5,6,20,0.7,,1,,,
enemy_5,6,20,0.9,,2,,,
enemy_5,6,20,1,,3,,,
enemy_11,6,5,0.4,,3,,,
enemy_7,10,5,0.5,,2,,,
enemy_9,12,5,0.4,,0,,,
#horde,,,,,,,,
#reward,500,,,,,,,
,,,Wave 40,,,,,
enemy_12,0,1,1,0.8,0,,,
enemy_12,4,1,1,0.8,1,,,
#reward,500,,,,,,,
,,,Wave 41,,,,,
enemy_12,0,1,1,,0,,,
enemy_12,4,1,1,,1,,,
#reward,500,,,,,,,
,,,Wave 42,,,,,
enemy_8,0,5,1,0.8,2,,,
enemy_6,0,15,0.4,0.8,0,,,
enemy_8,5,5,1,0.8,3,,,
enemy_6,8,15,0.4,0.8,1,,,
#reward,500,,,,,,,
,,,Wave 43,,,,,
enemy_9,0,5,0.8,,0,,,
enemy_12,0,2,1,0.8,2,,,
enemy_9,4,5,0.9,,1,,,
#reward,500,,,,,,,
,,,Wave 44,,,,,
enemy_12,0,2,1,0.8,0,,,
enemy_6,0,20,0.4,0.8,1,,, 
enemy_5,0,20,0.4,,0,,,
enemy_12,0,2,1,0.8,3,,,
enemy_6,0,20,0.3,0.8,0,,,
enemy_5,0,35,0.5,,1,,,
#horde,,,,,,,,
#reward,500,,,,,,,
,,,Wave 45,,,,,
enemy_9,0,4,1,,2,,,
enemy_9,0,4,1,,3,,,
boss_pult,10,1,1,0.8,0,,,
#reward,500,,,,,,,
,,,Wave 46,,,,,
enemy_5,0,25,0.4,,1,,,
enemy_6,6,25,0.4,0.8,0,,,
enemy_11,6,10,0.4,,1,,,
enemy_9,6,10,0.4,,0,,,
#reward,500,,,,,,,
,,,Wave 47,,,,,
enemy_12,0,2,1.5,0.8,0,,,
enemy_12,6,2,2,0.8,2,,,
#reward,500,,,,,,,
,,,Wave 48,,,,,
enemy_12,0,3,1,0.8,0,,,
enemy_9,6,5,0.4,,2,,,
enemy_12,10,3,1,0.8,1,,,
#reward,500,,,,,,,
,,,Wave 49,,,,,
enemy_7,0,10,0.4,,3,,,
enemy_9,6,10,0.4,,0,,,
enemy_12,6,2,1.5,0.8,2,,,
enemy_9,6,10,0.4,,1,,,
boss_pult,6,1,4,0.8,0,,,
boss_pult,3,1,4,0.8,1,,,
#horde,,,,,,,,
#reward,500,,,,,,,
,,,Wave 50,,,,,
enemy_13,0,1,3,0.8,0,,,
#reward,600,,,,,,,
,,,Wave 51,,,,,
enemy_13,0,1,2,0.8,0,,,
enemy_8,6,5,1,,2,,,
enemy_13,6,1,2,0.8,1,,,
enemy_8,6,5,1,,3,,,
#reward,600,,,,,,,
,,,Wave 52,,,,,
enemy_12,0,10,1.5,0.8,1,,,
enemy_10,6,10,0.4,,0,,,
enemy_8,6,10,0.4,0.8,1,,,
boss_pult,6,1,4,,0,,,
#reward,600,,,,,,,
,,,Wave 53,,,,,
enemy_9,0,10,0.4,,0,,,
enemy_5,6,20,0.4,,0,,,
enemy_11,6,10,0.4,,3,,,
enemy_5,6,30,0.4,,2,,,
#reward,600,,,,,,,
,,,Wave 54,,,,,
enemy_13,0,1,2,0.8,0,,,
enemy_5,3,20,0.4,,0,,,
enemy_13,9,1,2,0.8,1,,,
#horde,,,,,,,,
#reward,600,,,,,,,
,,,Wave 55,,,,,
enemy_12,0,5,1.5,0.8,0,,,
enemy_8,0,5,1,,1,,,
enemy_5,0,50,0.3,,2,,,
enemy_12,6,5,1.5,0.8,1,,,
enemy_12,6,5,1.5,0.8,0,,,
enemy_8,6,5,1,,1,,,
enemy_5,6,50,0.3,,3,,,
#reward,600,,,,,,,
,,,Wave 56,,,,,
enemy_12,0,5,1.5,0.8,0,,,
enemy_8,6,10,1.5,,1,,,
enemy_8,6,10,1.5,,3,,,
enemy_7,6,15,0.4,,3,,,
enemy_11,6,10,0.4,,0,,,
enemy_6,6,20,0.4,,1,,,
enemy_9,12,20,0.4,,0,,,
#reward,600,,,,,,,
,,,Wave 57,,,,,
enemy_13,0,1,2,0.8,0,,,
enemy_13,6,1,2,0.8,1,,,
#reward,700,,,,,,,
,,,Wave 58,,,,,
enemy_13,0,1,2,0.8,0,,,
enemy_9,6,10,0.4,,2,,,
enemy_12,6,10,1.5,0.8,1,,,
#reward,2000,,,,,,,
,,,Wave 59,,,,,
enemy_7,0,60,0.4,,0,,,
enemy_9,6,10,0.4,,1,,,
enemy_12,6,10,1.5,0.8,0,,,
enemy_7,6,30,0.4,,2,,,
enemy_11,16,6,0.4,0.8,1,,,
enemy_13,16,1,3,0.8,3,,,
boss_pult,16,1,0.4,0.8,0,,,
boss_pult,16,1,0.4,0.8,1,,,
boss_pult,16,1,0.4,0.8,2,,,
boss_pult,16,1,0.4,0.8,3,,,
#horde,,,,,,,,
#reward,3000,,,,,,,
,,,Wave 60,,,,,
